,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Rhode Island,0.27600617,-0.024005053,-0.410349282,-0.1826061,-0.354834805,-0.315274975,0.745591372,0.157585493,-0.14683323,-0.026732963,-0.080130977,0.628495318,-0.462502655,-0.18147886,-0.21701598,-0.178774624,-0.533339648,-0.101271737,0.387999158,0.665977846,0.616487194,0.293693851,0.33411967,0.468265445,-0.113630935,0.440812736,-0.035160158,-0.440167485,-0.359932661,-0.055302284,-0.368689296,-0.497971959,-0.003040898,0.538368075,-0.636637926,0.871296075,-0.201843077,-0.344225036,0.099939762,-0.054499688,-0.404143239,-0.028875861,1,-0.044862001,-0.428115862,-0.230717154,-0.126901188,-0.33185341,0.308807335,-0.138905945,-0.07178798,0.211231416,-0.066271358,-0.33400906
South Carolina,0.813962329,-0.682899174,-0.706745458,0.834791795,-0.763056527,-0.59583535,-0.500095117,0.268009241,-0.474048866,0.855083446,0.957719786,0.110538719,-0.385476833,-0.665946515,-0.062506484,-0.524119314,0.189630666,0.735234902,0.672370073,0.148661401,0.194152729,0.379251998,-0.568668466,-0.383909368,-0.443011294,0.67363558,0.235569301,-0.55718535,-0.530935859,-0.426570306,-0.111599671,-0.331842218,-0.334988174,-0.107715803,-0.521693743,-0.182436309,0.954466899,-0.355817526,-0.159119101,0.662018627,-0.715402605,-0.410247308,-0.044862001,1,-0.514338007,0.87566739,0.489699833,-0.437984599,-0.304153755,0.889628177,-0.881549283,0.605111125,-0.568264571,-0.300330182
South Dakota,-0.682721309,0.390608633,0.622100523,-0.373724538,0.360413039,0.651493342,0.021755335,-0.248009776,-0.123133111,-0.412077503,-0.567867568,-0.221208899,0.897066652,0.114376395,0.380729744,0.8337947,0.490083539,-0.236385624,-0.614921955,-0.463134994,-0.176252217,-0.826679973,0.008388659,0.203525845,0.663325482,-0.714690822,0.114384985,0.87098116,0.934666434,0.489685706,0.85136452,0.578774697,0.339647496,-0.200384545,0.853815897,-0.267484008,-0.426037032,0.940253384,0.393301539,-0.077675325,0.766108876,0.159340652,-0.428115862,-0.514338007,1,-0.417653253,-0.317193276,0.388603818,0.085303443,-0.483182383,0.445005066,-0.160930768,0.702838461,0.701532432
Tennessee,0.66977562,-0.698269167,-0.510936812,0.869458404,-0.621624461,-0.584862432,-0.667551805,0.193943773,-0.289895902,0.766619285,0.853857337,-0.23844459,-0.363564519,-0.470704,-0.040956979,-0.380322002,0.192075768,0.826626121,0.579672885,-0.001355642,0.098959772,0.339867749,-0.553489455,-0.467297548,-0.341964589,0.486189626,0.357565051,-0.451545718,-0.490778618,-0.602389402,-0.123469056,-0.270739214,-0.292494407,-0.17876297,-0.413349139,-0.327872265,0.833337153,-0.310270761,-0.061057559,0.601730065,-0.596185667,-0.145049413,-0.230717154,0.87566739,-0.417653253,1,0.372078052,-0.479720578,-0.330131586,0.748147398,-0.800018896,0.658776122,-0.509082971,-0.16043739
Texas,0.618461225,-0.088300507,-0.337019921,0.550514736,-0.542500648,0.151637112,-0.406185706,-0.472336427,-0.441549098,0.446746761,0.594278767,0.025938519,0.031604167,-0.313707212,-0.372304253,-0.441552646,0.557381414,0.317231567,0.591828445,-0.176177045,-0.155949048,0.124322114,-0.608901052,-0.643583442,-0.390101842,0.578582654,0.278172281,-0.22225675,-0.209720217,0.085389654,-0.026488015,-0.154513933,-0.365583146,-0.552173834,-0.231310926,-0.30582943,0.554409286,-0.306298199,-0.623486436,0.681964089,-0.327775892,-0.336810455,-0.126901188,0.489699833,-0.317193276,0.372078052,1,0.178702043,-0.421782222,0.366291263,-0.13153719,0.419819009,-0.610223809,0.083023372
Utah,-0.308521656,0.262903008,0.671711608,-0.249799778,0.279060403,0.495736151,0.045761947,-0.469257451,0.049095194,-0.220090388,-0.274642334,-0.035337257,0.543034744,0.392345543,0.052715911,0.054769438,0.313650822,-0.495357883,-0.221864233,-0.277447051,-0.407970782,-0.454717729,0.145808441,-0.215335838,0.012070891,-0.263954628,-0.320711351,0.471657353,0.436196414,0.589341345,0.232493689,0.396908959,0.234567054,-0.217445744,0.414914399,-0.181468074,-0.366139818,0.366380444,-0.524749892,-0.045420168,0.316321978,-0.143759222,-0.33185341,-0.437984599,0.388603818,-0.479720578,0.178702043,1,-0.180427677,-0.314516383,0.494986676,-0.278530811,0.024541176,0.336969831
Vermont,-0.386925738,0.484380754,-0.121640031,-0.456248257,0.203867393,0.160764739,0.366585083,0.291708066,0.28846184,-0.564119311,-0.400560934,0.211243774,0.126815309,0.250044781,0.25470682,0.125439013,-0.473002139,0.050987222,-0.233081994,0.646965072,0.643283944,-0.036468064,0.12378728,0.784542746,0.499379976,-0.173056571,0.228106435,0.372445421,-0.037624595,-0.114241217,-0.22462826,-0.184170581,0.235247603,-0.161595635,0.040606332,0.140158877,-0.297163251,-0.012107684,0.473959088,-0.61415331,0.304582633,0.087819336,0.308807335,-0.304153755,0.085303443,-0.330131586,-0.421782222,-0.180427677,1,-0.26889293,0.281834426,-0.035820942,0.412994163,0.317017353
Virginia,0.739078577,-0.581760524,-0.669272818,0.606151371,-0.5959111,-0.499625136,-0.499786203,0.246762019,-0.268511019,0.725472364,0.883977689,0.149332024,-0.40642354,-0.618381317,0.200881816,-0.505461525,0.109543394,0.532306346,0.438388584,0.145291287,-0.002511261,0.563427919,-0.490753552,-0.338039138,-0.485368906,0.624689966,0.033105471,-0.446782557,-0.466387637,-0.20515485,-0.188661964,-0.271242424,-0.366696009,-0.14382728,-0.448877893,-0.318900989,0.882595178,-0.300729418,-0.198980599,0.416421862,-0.611963951,-0.199365083,-0.138905945,0.889628177,-0.483182383,0.748147398,0.366291263,-0.314516383,-0.26889293,1,-0.760753917,0.368181268,-0.487949713,-0.420046317
Washington,-0.643362169,0.836092086,0.522510781,-0.743737047,0.655186127,0.758975207,0.261617737,-0.556104896,0.434418812,-0.830353578,-0.809996497,-0.089520287,0.457460717,0.58193566,-0.018792566,0.453470701,-0.039799442,-0.693669862,-0.531846622,-0.203017947,-0.258867942,-0.307558137,0.267822163,0.161036313,0.378481617,-0.460950263,-0.185744036,0.608309968,0.484164619,0.506185443,0.074566826,0.280193879,0.143525858,-0.231025311,0.503036824,-0.004494276,-0.784947158,0.284232798,0.066905814,-0.537832616,0.718176733,0.459380728,-0.07178798,-0.881549283,0.445005066,-0.800018896,-0.13153719,0.494986676,0.281834426,-0.760753917,1,-0.529566899,0.45093935,0.3558947
West Virginia,0.625097293,-0.493942952,-0.469549005,0.671521591,-0.864607279,-0.295172322,-0.235099181,-0.041845928,-0.587004554,0.573784403,0.60295133,0.175667203,-0.017165123,-0.538624496,0.033376621,-0.125408884,0.288261598,0.741076802,0.718883604,0.219840537,0.511476846,-0.012642932,-0.556228473,-0.132585159,-0.12724705,0.574400834,0.628226705,-0.14211551,-0.219107437,-0.307096967,0.125276553,-0.299560384,-0.139980491,-0.221843128,-0.363665933,0.058893087,0.547027492,-0.016237953,0.007397253,0.724203094,-0.511189577,-0.145778719,0.211231416,0.605111125,-0.160930768,0.658776122,0.419819009,-0.278530811,-0.035820942,0.368181268,-0.529566899,1,-0.321412549,0.255371526
Wisconsin,-0.766188344,0.399273323,0.299529678,-0.727019683,0.519823883,0.337590952,0.341316641,0.05283014,0.337293936,-0.730514066,-0.729491147,-0.012532012,0.482519667,0.324144018,0.426494946,0.885517228,0.03740694,-0.222411899,-0.72654096,-0.210963108,-0.062055605,-0.448289242,0.064078723,0.490684408,0.842749336,-0.707236377,-0.034262695,0.618661975,0.734679187,0.454716503,0.420088521,0.010450424,-0.046496798,0.01491755,0.557943535,-0.008887551,-0.512760377,0.596635401,0.62457746,-0.481574513,0.813256584,0.330587768,-0.066271358,-0.568264571,0.702838461,-0.509082971,-0.610223809,0.024541176,0.412994163,-0.487949713,0.45093935,-0.321412549,1,0.278088163
Wyoming,-0.406421342,0.430503481,0.413228398,-0.025033247,0.050013646,0.669089667,-0.140293029,-0.316959773,-0.288322386,-0.268557142,-0.286334986,-0.254980624,0.863277837,0.069565818,0.162100163,0.417939539,0.507198299,0.169996834,-0.175439046,-0.14216245,0.187875092,-0.728217144,-0.184362832,0.144616495,0.543513723,-0.397145085,0.545718359,0.80393141,0.567640044,0.131002407,0.598806515,0.41189976,0.39637439,-0.572097644,0.615199485,-0.347885734,-0.200683799,0.58952535,0.140803109,0.115232766,0.510530416,-0.085714429,-0.33400906,-0.300330182,0.701532432,-0.16043739,0.083023372,0.336969831,0.317017353,-0.420046317,0.3558947,0.255371526,0.278088163,1
