,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Georgia,0.890491603,-0.684609132,-0.639947503,0.863327404,-0.765622699,-0.539770669,-0.568185088,0.128605356,-0.457480733,0.89127816,1,0.132929574,-0.389237056,-0.64482476,-0.058792052,-0.631923798,0.212048116,0.645599689,0.734115955,0.109120916,0.096366289,0.435793207,-0.531220963,-0.513567253,-0.615968447,0.756093464,0.190982453,-0.54755985,-0.567850443,-0.384907671,-0.161515006,-0.253489905,-0.321207174,-0.158543978,-0.519542303,-0.201604384,0.935300218,-0.388401396,-0.366716357,0.696707779,-0.788354811,-0.371112873,-0.080130977,0.957719786,-0.567867568,0.853857337,0.594278767,-0.274642334,-0.400560934,0.883977689,-0.809996497,0.60295133,-0.729491147,-0.286334986
Hawaii,0.365295857,-0.139268448,-0.497827407,-0.189312667,-0.3514963,-0.152042838,0.402332926,0.134448233,-0.175493993,0.063316477,0.132929574,1,-0.149677656,-0.37626591,0.308819373,-0.087827188,-0.184442372,-0.161130958,0.257786113,0.365507158,0.343450053,0.213656619,-0.057969707,0.310285521,-0.269981312,0.509870986,-0.073293673,-0.127226851,-0.083059646,0.319509702,-0.043859779,-0.255808545,-0.248101784,0.20476754,-0.247845912,0.560732769,0.129091674,-0.030068792,-0.078538284,0.067155805,-0.330023763,-0.094783304,0.628495318,0.110538719,-0.221208899,-0.23844459,0.025938519,-0.035337257,0.211243774,0.149332024,-0.089520287,0.175667203,-0.012532012,-0.254980624
Idaho,-0.521541235,0.470427385,0.521063982,-0.21852303,0.199860045,0.75824868,-0.106220678,-0.401612338,-0.262918353,-0.332486092,-0.389237056,-0.149677656,1,0.057781141,0.26238856,0.612610095,0.631122025,-0.111988929,-0.390071164,-0.385671797,-0.101843701,-0.843131423,-0.169275112,0.059859001,0.587243595,-0.523279,0.225961161,0.896681042,0.839927303,0.492103785,0.806528579,0.522856816,0.295365743,-0.478974343,0.798728398,-0.37213736,-0.259448357,0.821033303,0.137519072,0.085740728,0.679002679,-0.080969844,-0.462502655,-0.385476833,0.897066652,-0.363564519,0.031604167,0.543034744,0.126815309,-0.40642354,0.457460717,-0.017165123,0.482519667,0.863277837
Illinois,-0.69954041,0.324156701,0.621733431,-0.532017209,0.773692352,0.226913122,0.265898774,0.05509469,0.773499113,-0.684219671,-0.64482476,-0.37626591,0.057781141,1,-0.08370729,0.129843841,-0.260599067,-0.373908129,-0.550077153,-0.137999887,-0.292505429,-0.161108162,0.299969461,0.187523162,0.285175131,-0.617606747,-0.16067836,0.224499096,0.121656589,0.081812154,-0.319588334,0.051321452,0.108137358,-0.054058976,0.299635529,-0.093182377,-0.622919294,-0.118309076,-0.082484218,-0.672267363,0.540731247,0.184936361,-0.18147886,-0.665946515,0.114376395,-0.470704,-0.313707212,0.392345543,0.250044781,-0.618381317,0.58193566,-0.538624496,0.324144018,0.069565818
Indiana,-0.172824687,-0.143166214,-0.025203445,-0.301459805,0.112100506,0.1437342,-0.069442315,0.27730539,0.19787908,-0.173148366,-0.058792052,0.308819373,0.26238856,-0.08370729,1,0.394493247,0.146247477,0.039843226,-0.466075522,-0.11921844,-0.105410342,0.022076631,-0.253172266,0.346427332,0.128767766,-0.1857242,0.200752442,0.504553052,0.410295547,0.372408254,0.299286434,0.170421304,-0.132474255,-0.237628647,0.451056057,-0.295399238,0.094524371,0.476620271,0.187975595,-0.228870382,0.264365206,0.344995505,-0.21701598,-0.062506484,0.380729744,-0.040956979,-0.372304253,0.052715911,0.25470682,0.200881816,-0.018792566,0.033376621,0.426494946,0.162100163
Iowa,-0.623869158,0.317212335,0.357208847,-0.520111822,0.365140853,0.432450836,0.129114685,-0.21631758,0.107260258,-0.54414473,-0.631923798,-0.087827188,0.612610095,0.129843841,0.394493247,1,0.292458585,-0.205817318,-0.59217085,-0.461869633,-0.165270798,-0.573983364,-0.050687414,0.239814682,0.723165586,-0.623393937,0.082300566,0.679732787,0.85381692,0.461665696,0.671932673,0.212392835,-0.031153292,-0.043253471,0.660286997,-0.048752009,-0.456068283,0.783281653,0.601657988,-0.165540149,0.748425311,0.459800786,-0.178774624,-0.524119314,0.8337947,-0.380322002,-0.441552646,0.054769438,0.125439013,-0.505461525,0.453470701,-0.125408884,0.885517228,0.417939539
Kansas,0.050735702,-0.076942282,0.143802188,0.284035076,-0.221049743,0.4721003,-0.399134742,-0.355508637,-0.482011327,0.204845796,0.212048116,-0.184442372,0.631122025,-0.260599067,0.146247477,0.292458585,1,0.281779626,-0.034076155,-0.690245889,-0.420234604,-0.45416926,-0.620147943,-0.444019391,0.136618875,-0.119933965,0.434885297,0.370770217,0.585086736,0.432302485,0.720430062,0.270137686,-0.211906727,-0.574433569,0.49931013,-0.584933873,0.343098597,0.462148817,-0.282713711,0.627971812,0.26436394,-0.230852971,-0.533339648,0.189630666,0.490083539,0.192075768,0.557381414,0.313650822,-0.473002139,0.109543394,-0.039799442,0.288261598,0.03740694,0.507198299
Kentucky,0.429483957,-0.481698354,-0.514025514,0.666931018,-0.58630863,-0.393872034,-0.43020431,0.291047047,-0.315813877,0.472862461,0.645599689,-0.161130958,-0.111988929,-0.373908129,0.039843226,-0.205817318,0.281779626,1,0.465559393,0.129316424,0.335701304,0.134126748,-0.615569703,-0.156208366,0.076322895,0.291560138,0.643960546,-0.212606229,-0.289520853,-0.501324581,-0.01302907,-0.439949013,-0.296516731,-0.352669897,-0.288968221,-0.32657119,0.73096053,-0.235120706,0.03226991,0.500744819,-0.32692372,-0.334289295,-0.101271737,0.735234902,-0.236385624,0.826626121,0.317231567,-0.495357883,0.050987222,0.532306346,-0.693669862,0.741076802,-0.222411899,0.169996834
Louisiana,0.86176791,-0.43222572,-0.570165678,0.743623068,-0.845629874,-0.514943636,-0.211133102,-0.167857654,-0.547266371,0.716948082,0.734115955,0.257786113,-0.390071164,-0.550077153,-0.466075522,-0.59217085,-0.034076155,0.465559393,1,0.388136096,0.446752036,0.277101797,-0.230444248,-0.406924433,-0.500295206,0.857826296,0.118977733,-0.587833048,-0.635895254,-0.448018928,-0.267498968,-0.411926819,-0.149233399,0.072204818,-0.750453563,0.327464558,0.539316627,-0.44936792,-0.294653566,0.700977483,-0.843552175,-0.349709662,0.387999158,0.672370073,-0.614921955,0.579672885,0.591828445,-0.221864233,-0.233081994,0.438388584,-0.531846622,0.718883604,-0.72654096,-0.175439046
Maine-1,0.238233331,0.067979551,-0.402491889,0.013772133,-0.332802395,-0.352010749,0.410358271,0.314632577,-0.082288649,0.062406859,0.109120916,0.365507158,-0.385671797,-0.137999887,-0.11921844,-0.461869633,-0.690245889,0.129316424,0.388136096,1,0.834109094,0.316698155,0.301117312,0.53917877,-0.063521925,0.422175809,-0.02472355,-0.27206699,-0.595223297,-0.382979948,-0.540858569,-0.379050783,0.311868275,0.254218664,-0.640275334,0.4929203,-0.017971738,-0.392914714,0.177595135,-0.23800079,-0.436880867,-0.170793989,0.665977846,0.148661401,-0.463134994,-0.001355642,-0.176177045,-0.277447051,0.646965072,0.145291287,-0.203017947,0.219840537,-0.210963108,-0.14216245
Maine-2,0.196513915,0.007127608,-0.383615082,0.175554224,-0.473841175,-0.268593663,0.324908578,0.294900073,-0.360531367,0.13095776,0.096366289,0.343450053,-0.101843701,-0.292505429,-0.105410342,-0.165270798,-0.420234604,0.335701304,0.446752036,0.834109094,1,-0.05583483,0.092035104,0.572845439,0.133935967,0.333633575,0.319514533,-0.090566931,-0.363807969,-0.464433065,-0.141771573,-0.245441232,0.369448928,0.174743883,-0.424419233,0.510309874,0.042077943,-0.103819446,0.428876536,0.040065532,-0.347080448,-0.217133222,0.616487194,0.194152729,-0.176252217,0.098959772,-0.155949048,-0.407970782,0.643283944,-0.002511261,-0.258867942,0.511476846,-0.062055605,0.187875092
Maryland,0.552256902,-0.262249309,-0.646581904,0.09735273,-0.177754858,-0.478668194,-0.084377009,0.208268402,0.324595793,0.205645989,0.435793207,0.213656619,-0.843131423,-0.161108162,0.022076631,-0.573983364,-0.45416926,0.134126748,0.277101797,0.316698155,-0.05583483,1,-0.039384928,-0.128479106,-0.55540205,0.576898994,-0.144404223,-0.6515251,-0.710475297,-0.244033281,-0.769767313,-0.525258284,-0.485126416,0.094184111,-0.652920926,0.054383921,0.367893433,-0.758974893,-0.251873029,-0.144659518,-0.52758376,0.228642902,0.293693851,0.379251998,-0.826679973,0.339867749,0.124322114,-0.454717729,-0.036468064,0.563427919,-0.307558137,-0.012642932,-0.448289242,-0.728217144
Massachusetts,-0.393510486,0.277853979,0.478679548,-0.422050294,0.444708901,-0.068280847,0.533178343,0.080828457,0.212771709,-0.289062976,-0.531220963,-0.057969707,-0.169275112,0.299969461,-0.253172266,-0.050687414,-0.620147943,-0.615569703,-0.230444248,0.301117312,0.092035104,-0.039384928,1,0.318731323,0.023078184,-0.319272455,-0.588029687,-0.083481112,-0.059880565,-0.088815825,-0.206274987,0.204435607,0.582038725,0.719077959,-0.08231269,0.543920208,-0.709262093,-0.017844455,0.07295726,-0.515540386,0.032660854,0.034214206,0.33411967,-0.568668466,0.008388659,-0.553489455,-0.608901052,0.145808441,0.12378728,-0.490753552,0.267822163,-0.556228473,0.064078723,-0.184362832
Michigan,-0.447015742,0.267155985,0.03647516,-0.534702721,0.207877985,0.123390833,0.703317339,0.543117597,0.138399072,-0.460187125,-0.513567253,0.310285521,0.059859001,0.187523162,0.346427332,0.239814682,-0.444019391,-0.156208366,-0.406924433,0.53917877,0.572845439,-0.128479106,0.318731323,1,0.384624633,-0.294057916,0.205779398,0.255975426,0.109395126,0.038085655,-0.028368373,0.039445764,0.414537801,0.217931629,0.111275819,0.353250929,-0.420383718,0.159558962,0.537242263,-0.58505111,0.269211,0.094693816,0.468265445,-0.383909368,0.203525845,-0.467297548,-0.643583442,-0.215335838,0.784542746,-0.338039138,0.161036313,-0.132585159,0.490684408,0.144616495
Minnesota,-0.723366239,0.521672168,0.290698771,-0.489781188,0.363185566,0.374645789,0.222309372,-0.060989491,0.135493507,-0.652520936,-0.615968447,-0.269981312,0.587243595,0.285175131,0.128767766,0.723165586,0.136618875,0.076322895,-0.500295206,-0.063521925,0.133935967,-0.55540205,0.023078184,0.384624633,1,-0.680094834,0.140082912,0.618599173,0.625811803,0.228279681,0.392774049,-0.097626419,0.075985175,-0.170355193,0.438603887,-0.133053774,-0.425569954,0.479479043,0.555665666,-0.321682042,0.778211175,0.049320408,-0.113630935,-0.443011294,0.663325482,-0.341964589,-0.390101842,0.012070891,0.499379976,-0.485368906,0.378481617,-0.12724705,0.842749336,0.543513723
Mississippi,0.951050551,-0.391852278,-0.769102143,0.55264549,-0.805572095,-0.439551568,-0.16762378,-0.114762017,-0.396717996,0.650916374,0.756093464,0.509870986,-0.523279,-0.617606747,-0.1857242,-0.623393937,-0.119933965,0.291560138,0.857826296,0.422175809,0.333633575,0.576898994,-0.319272455,-0.294057916,-0.680094834,1,0.054356041,-0.59144718,-0.669869271,-0.227297218,-0.388780158,-0.408321778,-0.311760791,0.002676469,-0.75145846,0.276678567,0.600014993,-0.496838132,-0.305050971,0.523967982,-0.847361337,-0.107170142,0.440812736,0.67363558,-0.714690822,0.486189626,0.578582654,-0.263954628,-0.173056571,0.624689966,-0.460950263,0.574400834,-0.707236377,-0.397145085
Missouri,0.112430557,-0.119409403,-0.216986096,0.319872888,-0.350732522,0.223812533,-0.133651475,0.175484305,-0.308712314,0.103831314,0.190982453,-0.073293673,0.225961161,-0.16067836,0.200752442,0.082300566,0.434885297,0.643960546,0.118977733,-0.02472355,0.319514533,-0.144404223,-0.588029687,0.205779398,0.140082912,0.054356041,1,0.192019772,0.061002648,-0.194506072,0.231982568,0.006670106,-0.032107527,-0.551695535,0.165923824,-0.303075406,0.332407878,0.04059759,0.101384707,0.323117594,0.042423306,-0.054194707,-0.035160158,0.235569301,0.114384985,0.357565051,0.278172281,-0.320711351,0.228106435,0.033105471,-0.185744036,0.628226705,-0.034262695,0.545718359
Montana,-0.651728387,0.569157374,0.512643224,-0.45456801,0.401408622,0.766255077,-0.069298944,-0.320696353,0.072176011,-0.56373201,-0.54755985,-0.127226851,0.896681042,0.224499096,0.504553052,0.679732787,0.370770217,-0.212606229,-0.587833048,-0.27206699,-0.090566931,-0.6515251,-0.083481112,0.255975426,0.618599173,-0.59144718,0.192019772,1,0.794302602,0.474563852,0.61291548,0.498837385,0.283885814,-0.497784888,0.83093359,-0.38641777,-0.406496899,0.78875954,0.282920895,-0.257975848,0.780069761,0.252142578,-0.440167485,-0.55718535,0.87098116,-0.451545718,-0.22225675,0.471657353,0.372445421,-0.446782557,0.608309968,-0.14211551,0.618661975,0.80393141
Nebraska-1,-0.632764595,0.363218403,0.546825819,-0.486346358,0.37001405,0.670233627,0.100621233,-0.307455452,-0.06148004,-0.473267067,-0.567850443,-0.083059646,0.839927303,0.121656589,0.410295547,0.85381692,0.585086736,-0.289520853,-0.635895254,-0.595223297,-0.363807969,-0.710475297,-0.059880565,0.109395126,0.625811803,-0.669869271,0.061002648,0.794302602,1,0.711138213,0.826538367,0.418946826,0.065446463,-0.20781977,0.827670363,-0.248298593,-0.401948554,0.866506964,0.212904654,-0.047938436,0.791548172,0.15537537,-0.359932661,-0.530935859,0.934666434,-0.490778618,-0.209720217,0.436196414,-0.037624595,-0.466387637,0.484164619,-0.219107437,0.734679187,0.567640044
Nebraska-2,-0.286175941,0.337041034,0.252762412,-0.593268751,0.207246383,0.599949575,0.308758102,-0.390092722,0.019440119,-0.411750964,-0.384907671,0.319509702,0.492103785,0.081812154,0.372408254,0.461665696,0.432302485,-0.501324581,-0.448018928,-0.382979948,-0.464433065,-0.244033281,-0.088815825,0.038085655,0.228279681,-0.227297218,-0.194506072,0.474563852,0.711138213,1,0.414949117,0.127557268,-0.218333448,-0.188780607,0.441883096,-0.102510544,-0.299927294,0.489600747,-0.206293011,-0.08793817,0.514227355,0.137789832,-0.055302284,-0.426570306,0.489685706,-0.602389402,0.085389654,0.589341345,-0.114241217,-0.20515485,0.506185443,-0.307096967,0.454716503,0.131002407
Nebraska-3,-0.270771873,0.067900816,0.342436031,0.009587499,-0.039027242,0.467156084,-0.133926395,-0.22389906,-0.525229712,0.030121541,-0.161515006,-0.043859779,0.806528579,-0.319588334,0.299286434,0.671932673,0.720430062,-0.01302907,-0.267498968,-0.540858569,-0.141771573,-0.769767313,-0.206274987,-0.028368373,0.392774049,-0.388780158,0.231982568,0.61291548,0.826538367,0.414949117,1,0.544585772,0.195179904,-0.152652478,0.695685249,-0.21348857,-0.029907007,0.888880063,0.250224916,0.390383612,0.419324631,-0.08619865,-0.368689296,-0.111599671,0.85136452,-0.123469056,-0.026488015,0.232493689,-0.22462826,-0.188661964,0.074566826,0.125276553,0.420088521,0.598806515
Nevada,-0.348931053,0.195487052,0.63252049,-0.018576963,0.330290816,0.524595612,-0.178635342,-0.110727664,-0.174953975,0.00943611,-0.253489905,-0.255808545,0.522856816,0.051321452,0.170421304,0.212392835,0.270137686,-0.439949013,-0.411926819,-0.379050783,-0.245441232,-0.525258284,0.204435607,0.039445764,-0.097626419,-0.408321778,0.006670106,0.498837385,0.418946826,0.127557268,0.544585772,1,0.662062508,-0.072360625,0.695449141,-0.256671786,-0.256929882,0.591071856,0.070660638,-0.036024413,0.285092954,0.10301772,-0.497971959,-0.331842218,0.578774697,-0.270739214,-0.154513933,0.396908959,-0.184170581,-0.271242424,0.280193879,-0.299560384,0.010450424,0.41189976
